,title,text,stars,label,language
0,gAAAAABnUH4NgkTQ9eyZpcZr0JpVZKT2A_-T3BUnPBPZps2D7qH62iF1wDFBhD7Mw1r8jGzlmtiUC0-8TW4Pic0GvvcqQg4J9A==,"Sauce vipo infecte piquante sans aucun goût ni saveur tacos manque de saveur ou est le goût du fromage ? Inexistable, dommage la sauce est légèrement sucrée c est une sauce ketchup au piment je vous demande de revisiter votre recette bonne chance",2,0,
1,gAAAAABnUH4NyGLVcUk0aT-6YySNpN-Atb905EoDedSWV2EpVt339ukddhvr7TvpIQwOiAzeOMdM3ObQd-hMRWZaH8Lh4ejQIA==,"La cuisine est médiocre, la sauce Vipo est sans vouloir paraître désagréable n'est pas appétissante du tout, trop sucré on dirait littéralement un mélange de ketchup et de piment, honnêtement je suis déçue, car pour le prix je suis censée avoir quelque chose de mangeable, ce qui n'était pas du tout le cas, je ne recommande pas ce fastfood, qui d'ailleurs n'est pas fast pour le coup, car il faut attendre un paquet de temps pour être servie.",1,0,
2,gAAAAABnUH4NDFwRDSycnVfF_qiCYlFhB60ebSobqCmoWhN1J83K_ySflvF4weT9PCzrrmVDsh366MfVYKWjQ7Ey-VQWAxxm9A==,"الاجواء و الاضاءة روعة
 النظافة في القمة
 الماكلة بنينةبزاف و ميطولش الكوموند
 و ان شاء الله مع وقت يزيدو خيارات اخرى في menu",5,1,
3,gAAAAABnUH4NRqzylGPMu-ODANAHON7KKDiz4uJhnHJUfQt4pN7TyX2KSTuzn9Mql0G-gltbVB9-ei9Gamm0tfiwOYtrHhFPFw==,"J'ai vraiment aimé cette place, le service est chaleureux w lmakla bnina bien sûr.",4,1,"{""choices"":[""French"",""Darija""]}"
4,gAAAAABnUH4NiAgbqy6d_5sxsXSJ5Ly_TOLP2DMYqka9_4RwOzaaln2YZr-_aG26vJpMZZBHfxMDr7m22q6DPQ6DR2ve9zLpOw==,"Cozy place, good burgers for the price u pay, the chicken twist was the best.
 sauces are considered as supplements tho that u pay for... which is weird",4,1,English
5,gAAAAABnUH4Naa6ubKYhJCH-z2l1oDwDeKTuAtfGN43J-n7pHaxRU26myeaqOE3PgiFH_iUrzD_R2kFwLja3gsuwf1OXWE7TOA==,ما شاء الله,5,1,
6,gAAAAABnUH4NaJexk8JXGciO0ICz1RJKepduaHCClFmL6KEkM5WtGna9Zhz385k9gLP5YT3zYAxkI8xY1xkSD0U5Z4OAEa6bcA==,"Accueil chaleureux serveur au top
 Poulet sandwichs tout était parfait et bon copieux je recommande ce lieux
 Juste une petite remarque pour améliorer une Climatisation plus forte serait vraiment top car il fait très chaud dedans",5,1,
7,gAAAAABnUH4NCb_unz7CZxdEXnwOoz3BvmNWkVt6Uhv-F-EFS30baVinTc0tbgvuh5p0rt1IPQGK3XOodkhM8uIsTh_wXm9L1A==,"Great fried chicken
 Great fries",5,1,
8,gAAAAABnUH4NgKt7dQ0XssgbXlemlrlk4qYPPzIBfhlZeYZZSw9-Pm34KCNzNr6L_oJBroKAKU43ZhMvbTXurVC47VMvjeVn5A==,commande fi sa3a ?,1,0,
9,gAAAAABnUH4NtauI8OQaohvYTnJtNDDxlxjKZcj3hiFMiToYamfoFiRVazTCTlK695pnVmgMXStXLTa1U7Vh430Fwu6SP96iDw==,"small fast food place , yet the meat is fresh and the service is fast , I had been going there for a few days and I recommend the ""nuggets and fries"" menu with sauce on the side and not on top.",4,1,English
10,gAAAAABnUH4NXXaedBdLh-tNEoSfqAXtJZgVXCOS2hGkyuTygbSCGoxXyr3auCFx3VIW4ah39zVEa9BhR6wSJNQjJLJvKo24dg==,ماكلة بنينة، الشبيبة تستقبل مليح,5,1,
11,gAAAAABnUH4NQc-qKxBPqAGE-Wyg6CueMXCV25HRCY3FePj8KGaVuNvMEv5xnTctKdpIgDUSkOfOk_5dZRhoRrQi_DTmFohY2g==,"Endroit très étroit
 Absence de sanitaire
 Absence de lave-main (en tout cas lors de mon passage )
 Manque de climatisation
 Frites surgelés ou refaits..
 Sauces trop diluées..
 Choix boissons très limité",2,0,
12,gAAAAABnUH4Ne_FzfLjgVpxPH6qW_iETc4Jkkm9PEVRET6_gUTtBT4LhtILtma1NiPJsk-A02O8jDCsLOMAxdskc9s8iQ4Aw8g==,Délicieux repas,4,1,French
13,gAAAAABnUH4N5cT7-49z3Xzm6bfAPxi7giIJxRHarh1XokLUeDIy6-Khvq2brbldx5lxvzzVx6ZMpZ4F4ZkYxIoiyRA__oVgOw==,"Nourriture propre , accueil chaleureux Mais les plats sont un peu chers ..un cornet de quelques nuggets à 200 dinnars",2,0,
14,gAAAAABnUH4Nh_2AqXjdWpifdOh4Hj1D_hhpcmhq_7PLtF-AerrWWAICg6b0iukmFYbdedKxhURGBLsdOjIevk7qoDsfSr5kfw==,Service professional merci,5,1,
15,gAAAAABnUH4NTo5-F24CdmXBNDfgngWusBE2XV2xvY81RC5AEMn7FJp8egryTM0Qf2jFKCVv56UNv6Q4Z5cYnPL2b-yUSN9iLQ==,Rabi ybarek ⭐,5,1,
16,gAAAAABnUH4N4trglp6zRuC-tKT7Rjo14u6LQHxz74YSy8ZPXFdworKT_X5RL9ZW_oXdEwm498Sop_Hu8GaCOCeYc_ffAq1UOA==,1/10,1,0,
17,gAAAAABnUH4N3kaHr40KAOTaE-pOw5y7aijfEzWgfaw_etjL7nkK2GgWefSEwBEd2i7x6bzIp-3Py82Sjx4HukFfcQGVZ_roIA==,Déçu.... j'ai commandé une méga shawarma. Bcp de frites et de salades et peu de shawarma mélangé avec du tacos en viande hachée,2,0,
18,gAAAAABnUH4N4-12l-2Pn_gebW7WneSWklvdksUAtAlahKzQnCDMmq-SQrAXBXKNabhM3iZet8wn9xrNsmRSA9uL8qrJ2XYgTg==,جيت عندكم جوايه 14 مي كارثة ذبان داير حالة طاكوس جاج نص طياب و ليزيبيس بزاف علجالكم لحقت لسبيطار حسبي الله دايين شيعة في باطل,1,0,
