,Review_Text,Language,Rating (1-5),Country,Sentiment,Aspect_Focus
0,La livraison a été très rapide et le repas était bnina!,French,5,Algeria,Positive,Delivery Speed
1,الأكل وصل باردًا ولم يكن طازجًا كما توقعت.,Arabic,2,Algeria,Negative,Food Quality
2,The food was delicious and the delivery was prompt.,English,5,Algeria,Positive,Food Quality
3,La plateforme a des problèmes de connexion fréquents.,French,2,Algeria,Negative,App Usability
4,خدمة التوصيل ممتازة والأسعار مناسبة.,Arabic,5,Algeria,Positive,Pricing
5,The delivery was late and the food was cold.,English,1,Algeria,Negative,Delivery Speed
6,La nourriture était fraîche et savoureuse.,French,5,Algeria,Positive,Food Quality
7,الأكل وصل بسرعة وكان طيبًا جدًا.,Arabic,5,Algeria,Positive,Delivery Speed
8,The app is user-friendly but sometimes crashes.,English,3,Algeria,Positive,App Usability
9,La commande a été incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
10,الأكل كان طيبًا ولكن التغليف كان سيئًا.,Arabic,3,Algeria,Positive,Packaging
11,Great variety of dishes available on the app.,English,5,Algeria,Positive,Food Quality
12,La livraison était rapide mais le repas était moyen.,French,3,Algeria,Positive,Delivery Speed
13,الأكل وصل باردًا ولم يكن لذيذًا.,Arabic,2,Algeria,Negative,Food Quality
14,The food was tasty and arrived on time. 😊,English,5,Algeria,Positive,Food Quality
15,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
16,الأكل كان غير طازج والخدمة بطيئة.,Arabic,2,Algeria,Negative,Food Quality
17,Excellent customer service and delicious food!,English,5,Algeria,Positive,Customer Service
18,La nourriture était délicieuse et bien emballée.,French,5,Algeria,Positive,Packaging
19,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
20,The delivery was efficient and the food was fresh.,English,5,Algeria,Positive,Delivery Speed
21,La commande est arrivée en retard et le repas était froid.,French,2,Algeria,Negative,Delivery Speed
22,الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Arabic,3,Algeria,Positive,Pricing
23,The app is intuitive and easy to navigate.,English,5,Algeria,Positive,App Usability
24,La livraison a été impeccable et rapide.,French,5,Algeria,Positive,Delivery Speed
25,الأكل وصل باردًا وغير لذيذ.,Arabic,2,Algeria,Negative,Food Quality
26,Great food quality and fast delivery.,English,5,Algeria,Positive,Food Quality
27,La plateforme a des bugs et est lente.,French,2,Algeria,Negative,App Usability
28,الأكل كان طازجًا ولذيذًا.,Arabic,5,Algeria,Positive,Food Quality
29,The delivery was prompt and the food was tasty.,English,5,Algeria,Positive,Delivery Speed
30,La nourriture était moyenne et le service médiocre.,French,2,Algeria,Negative,Food Quality
31,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
32,"The app crashes too often, making ordering difficult.",English,1,Algeria,Negative,App Usability
33,La livraison était rapide et le repas était délicieux.,French,5,Algeria,Positive,Delivery Speed
34,الأكل وصل باردًا ولم يكن جيدًا.,Arabic,2,Algeria,Negative,Food Quality
35,Excellent packaging and fresh food!,English,5,Algeria,Positive,Packaging
36,La plateforme est parfois difficile à naviguer.,French,3,Algeria,Positive,App Usability
37,الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Arabic,3,Algeria,Positive,Delivery Speed
38,The food was delicious but the delivery was slow.,English,3,Algeria,Positive,Food Quality
39,La nourriture était fraîche et bien présentée.,French,5,Algeria,Positive,Food Quality
40,الأكل وصل بسرعة وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
41,The app is user-friendly and works smoothly.,English,5,Algeria,Positive,App Usability
42,La commande était incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
43,الأكل كان باردًا وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
44,Great selection and delicious food options.,English,5,Algeria,Positive,Food Quality
45,La livraison a été rapide et sans problèmes.,French,5,Algeria,Positive,Delivery Speed
46,الأكل وصل باردًا ولم يكن طازجًا.,Arabic,2,Algeria,Negative,Food Quality
47,The food was tasty and arrived on time.,English,5,Algeria,Positive,Food Quality
48,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
49,الأكل وصل بسرعة وكان لذيذاً جداً.,Arabic,5,Algeria,Positive,Delivery Speed
50,The delivery was efficient and the food was fresh.,English,5,Algeria,Positive,Delivery Speed
51,La commande est arrivée en retard et le repas était froid.,French,2,Algeria,Negative,Delivery Speed
52,الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Arabic,3,Algeria,Positive,Pricing
53,The app is intuitive and easy to navigate.,English,5,Algeria,Positive,App Usability
54,La livraison a été impeccable et rapide.,French,5,Algeria,Positive,Delivery Speed
55,الأكل وصل باردًا وغير لذيذ.,Arabic,2,Algeria,Negative,Food Quality
56,Great food quality and fast delivery.,English,5,Algeria,Positive,Food Quality
57,La plateforme a des bugs et est lente.,French,2,Algeria,Negative,App Usability
58,الأكل كان طازجًا ولذيذًا.,Arabic,5,Algeria,Positive,Food Quality
59,The delivery was prompt and the food was tasty.,English,5,Algeria,Positive,Delivery Speed
60,La nourriture était moyenne et le service médiocre.,French,2,Algeria,Negative,Food Quality
61,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
62,"The app crashes too often, making ordering difficult.",English,1,Algeria,Negative,App Usability
63,La livraison était rapide et le repas était délicieux.,French,5,Algeria,Positive,Delivery Speed
64,الأكل وصل باردًا ولم يكن جيدًا.,Arabic,2,Algeria,Negative,Food Quality
65,Excellent packaging and fresh food!,English,5,Algeria,Positive,Packaging
66,La plateforme est parfois difficile à naviguer.,French,3,Algeria,Positive,App Usability
67,الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Arabic,3,Algeria,Positive,Delivery Speed
68,The food was delicious but the delivery was slow.,English,3,Algeria,Positive,Food Quality
69,La nourriture était fraîche et bien présentée.,French,5,Algeria,Positive,Food Quality
70,الأكل وصل بسرعة وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
71,The app is user-friendly and works smoothly.,English,5,Algeria,Positive,App Usability
72,La commande était incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
73,الأكل كان باردًا وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
74,Great selection and delicious food options.,English,5,Algeria,Positive,Food Quality
75,La livraison a été rapide et sans problèmes.,French,5,Algeria,Positive,Delivery Speed
76,الأكل وصل باردًا ولم يكن طازجًا.,Arabic,2,Algeria,Negative,Food Quality
77,The food was tasty and arrived on time.,English,5,Algeria,Positive,Food Quality
78,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
79,الأكل وصل بسرعة وكان لذيذاً جداً.,Arabic,5,Algeria,Positive,Delivery Speed
80,The delivery was efficient and the food was fresh.,English,5,Algeria,Positive,Delivery Speed
81,La commande est arrivée en retard et le repas était froid.,French,2,Algeria,Negative,Delivery Speed
82,الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Arabic,3,Algeria,Positive,Pricing
83,The app is intuitive and easy to navigate.,English,5,Algeria,Positive,App Usability
84,La livraison a été impeccable et rapide.,French,5,Algeria,Positive,Delivery Speed
85,الأكل وصل باردًا وغير لذيذ.,Arabic,2,Algeria,Negative,Food Quality
86,Great food quality and fast delivery.,English,5,Algeria,Positive,Food Quality
87,La plateforme a des bugs et est lente.,French,2,Algeria,Negative,App Usability
88,الأكل كان طازجًا ولذيذًا.,Arabic,5,Algeria,Positive,Food Quality
89,The delivery was prompt and the food was tasty.,English,5,Algeria,Positive,Delivery Speed
90,La nourriture était moyenne et le service médiocre.,French,2,Algeria,Negative,Food Quality
91,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
92,"The app crashes too often, making ordering difficult.",English,1,Algeria,Negative,App Usability
93,La livraison était rapide et le repas était délicieux.,French,5,Algeria,Positive,Delivery Speed
94,الأكل وصل باردًا ولم يكن جيدًا.,Arabic,2,Algeria,Negative,Food Quality
95,Excellent packaging and fresh food!,English,5,Algeria,Positive,Packaging
96,La plateforme est parfois difficile à naviguer.,French,3,Algeria,Positive,App Usability
97,الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Arabic,3,Algeria,Positive,Delivery Speed
98,The food was delicious but the delivery was slow.,English,3,Algeria,Positive,Food Quality
99,La nourriture était fraîche et bien présentée.,French,5,Algeria,Positive,Food Quality
100,الأكل وصل بسرعة وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
101,The app is user-friendly and works smoothly.,English,5,Algeria,Positive,App Usability
102,La commande était incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
103,الأكل كان باردًا وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
104,Great selection and delicious food options.,English,5,Algeria,Positive,Food Quality
105,La livraison a été rapide et sans problèmes.,French,5,Algeria,Positive,Delivery Speed
106,الأكل وصل باردًا ولم يكن طازجًا.,Arabic,2,Algeria,Negative,Food Quality
107,The food was tasty and arrived on time.,English,5,Algeria,Positive,Food Quality
108,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
109,الأكل وصل بسرعة وكان لذيذاً جداً.,Arabic,5,Algeria,Positive,Delivery Speed
110,The delivery was efficient and the food was fresh.,English,5,Algeria,Positive,Delivery Speed
111,La commande est arrivée en retard et le repas était froid.,French,2,Algeria,Negative,Delivery Speed
112,الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Arabic,3,Algeria,Positive,Pricing
113,The app is intuitive and easy to navigate.,English,5,Algeria,Positive,App Usability
114,La livraison a été impeccable et rapide.,French,5,Algeria,Positive,Delivery Speed
115,الأكل وصل باردًا وغير لذيذ.,Arabic,2,Algeria,Negative,Food Quality
116,Great food quality and fast delivery.,English,5,Algeria,Positive,Food Quality
117,La plateforme a des bugs et est lente.,French,2,Algeria,Negative,App Usability
118,الأكل كان طازجًا ولذيذًا.,Arabic,5,Algeria,Positive,Food Quality
119,The delivery was prompt and the food was tasty.,English,5,Algeria,Positive,Delivery Speed
120,La nourriture était moyenne et le service médiocre.,French,2,Algeria,Negative,Food Quality
121,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
122,"The app crashes too often, making ordering difficult.",English,1,Algeria,Negative,App Usability
123,La livraison était rapide et le repas était délicieux.,French,5,Algeria,Positive,Delivery Speed
124,الأكل وصل باردًا ولم يكن جيدًا.,Arabic,2,Algeria,Negative,Food Quality
125,Excellent packaging and fresh food!,English,5,Algeria,Positive,Packaging
126,La plateforme est parfois difficile à naviguer.,French,3,Algeria,Positive,App Usability
127,الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Arabic,3,Algeria,Positive,Delivery Speed
128,The food was delicious but the delivery was slow.,English,3,Algeria,Positive,Food Quality
129,La nourriture était fraîche et bien présentée.,French,5,Algeria,Positive,Food Quality
130,الأكل وصل بسرعة وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
131,The app is user-friendly and works smoothly.,English,5,Algeria,Positive,App Usability
132,La commande était incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
133,الأكل كان باردًا وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
134,Great selection and delicious food options.,English,5,Algeria,Positive,Food Quality
135,La livraison a été rapide et sans problèmes.,French,5,Algeria,Positive,Delivery Speed
136,The food was tasty and arrived on time.,English,5,Algeria,Positive,Food Quality
137,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
138,الأكل وصل بسرعة وكان لذيذاً جداً.,Arabic,5,Algeria,Positive,Delivery Speed
139,The delivery was efficient and the food was fresh.,English,5,Algeria,Positive,Delivery Speed
140,La commande est arrivée en retard et le repas était froid.,French,2,Algeria,Negative,Delivery Speed
141,الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Arabic,3,Algeria,Positive,Pricing
142,The app is intuitive and easy to navigate.,English,5,Algeria,Positive,App Usability
143,La livraison a été impeccable et rapide.,French,5,Algeria,Positive,Delivery Speed
144,الأكل وصل باردًا وغير لذيذ.,Arabic,2,Algeria,Negative,Food Quality
145,Great food quality and fast delivery.,English,5,Algeria,Positive,Food Quality
146,La plateforme a des bugs et est lente.,French,2,Algeria,Negative,App Usability
147,The delivery was prompt and the food was tasty.,English,5,Algeria,Positive,Delivery Speed
148,La nourriture était moyenne et le service médiocre.,French,2,Algeria,Negative,Food Quality
149,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
150,"The app crashes too often, making ordering difficult.",English,1,Algeria,Negative,App Usability
151,La livraison était rapide et le repas était délicieux.,French,5,Algeria,Positive,Delivery Speed
152,الأكل وصل باردًا ولم يكن جيدًا.,Arabic,2,Algeria,Negative,Food Quality
153,Excellent packaging and fresh food!,English,5,Algeria,Positive,Packaging
154,La plateforme est parfois difficile à naviguer.,French,3,Algeria,Positive,App Usability
155,الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Arabic,3,Algeria,Positive,Delivery Speed
156,The food was delicious but the delivery was slow.,English,3,Algeria,Positive,Food Quality
157,La nourriture était fraîche et bien présentée.,French,5,Algeria,Positive,Food Quality
158,الأكل وصل بسرعة وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
159,The app is user-friendly and works smoothly.,English,5,Algeria,Positive,App Usability
160,La commande était incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
161,الأكل كان باردًا وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
162,Great selection and delicious food options.,English,5,Algeria,Positive,Food Quality
163,La livraison a été rapide et sans problèmes.,French,5,Algeria,Positive,Delivery Speed
164,الأكل وصل باردًا ولم يكن طازجًا.,Arabic,2,Algeria,Negative,Food Quality
165,The food was tasty and arrived on time.,English,5,Algeria,Positive,Food Quality
166,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
167,الأكل وصل بسرعة وكان لذيذاً جداً.,Arabic,5,Algeria,Positive,Delivery Speed
168,The delivery was efficient and the food was fresh.,English,5,Algeria,Positive,Delivery Speed
169,La commande est arrivée en retard et le repas était froid.,French,2,Algeria,Negative,Delivery Speed
170,الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Arabic,3,Algeria,Positive,Pricing
171,The app is intuitive and easy to navigate.,English,5,Algeria,Positive,App Usability
172,La livraison a été impeccable et rapide.,French,5,Algeria,Positive,Delivery Speed
173,الأكل وصل باردًا وغير لذيذ.,Arabic,2,Algeria,Negative,Food Quality
174,Great food quality and fast delivery.,English,5,Algeria,Positive,Food Quality
175,La plateforme a des bugs et est lente.,French,2,Algeria,Negative,App Usability
176,الأكل كان طازجًا ولذيذًا.,Arabic,5,Algeria,Positive,Food Quality
177,The delivery was prompt and the food was tasty.,English,5,Algeria,Positive,Delivery Speed
178,La nourriture était moyenne et le service médiocre.,French,2,Algeria,Negative,Food Quality
179,الأكل وصل بسرعة وكان طيبًا.,Arabic,5,Algeria,Positive,Delivery Speed
180,"The app crashes too often, making ordering difficult.",English,1,Algeria,Negative,App Usability
181,La livraison était rapide et le repas était délicieux.,French,5,Algeria,Positive,Delivery Speed
182,الأكل وصل باردًا ولم يكن جيدًا.,Arabic,2,Algeria,Negative,Food Quality
183,Excellent packaging and fresh food!,English,5,Algeria,Positive,Packaging
184,La plateforme est parfois difficile à naviguer.,French,3,Algeria,Positive,App Usability
185,الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Arabic,3,Algeria,Positive,Delivery Speed
186,The food was delicious but the delivery was slow.,English,3,Algeria,Positive,Food Quality
187,La nourriture était fraîche et bien présentée.,French,5,Algeria,Positive,Food Quality
188,الأكل وصل بسرعة وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
189,The app is user-friendly and works smoothly.,English,5,Algeria,Positive,App Usability
190,La commande était incorrecte et le service client était lent.,French,2,Algeria,Negative,Order Accuracy
191,الأكل كان باردًا وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
192,Great selection and delicious food options.,English,5,Algeria,Positive,Food Quality
193,La livraison a été rapide et sans problèmes.,French,5,Algeria,Positive,Delivery Speed
194,الأكل وصل باردًا ولم يكن طازجًا.,Arabic,2,Algeria,Negative,Food Quality
195,The food was tasty and arrived on time.,English,5,Algeria,Positive,Food Quality
196,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
197,الأكل وصل بسرعة وكان لذيذاً جداً.,Arabic,5,Algeria,Positive,Delivery Speed
198,Livraison super rapide et la nourriture était bnina! 🍔,French,5,Algeria,Positive,Delivery Speed
199,"La commande est arrivée barda, froide et retardée.",French,2,Algeria,Negative,Delivery Speed
200,التوصيل سريع والاكل طيب جداً، شكراً لكم! 😊,Arabic,5,Algeria,Positive,Food Quality
201,خدمة التوصيل سيئة جداً، الطعام وصل بارد ومغلف بشكل سيء.,Arabic,1,Algeria,Negative,Packaging
202,Great service! The delivery was on time and the food was delicious.,English,5,Algeria,Positive,Delivery Speed
203,La nourriture était délicieuse mais le prix est un peu élevé.,French,4,Algeria,Positive,Pricing
204,La plateforme est barda mais la livraison a pris trop de temps.,French,2,Algeria,Negative,Delivery Speed
205,الأكل كان مش بطال ولكن التغليف كان ضعيف.,Arabic,3,Algeria,Positive,Packaging
206,"Food arrived on time, but the quality could be better.",English,3,Algeria,Positive,Food Quality
207,"Service client très réactif et efficace, merci! 👍",French,5,Algeria,Positive,Customer Service
208,تطبيق التوصيل سهل الاستخدام ويعمل بشكل جيد.,Arabic,4,Algeria,Positive,App Usability
209,The order was incorrect and it took forever to get it fixed.,English,2,Algeria,Negative,Order Accuracy
210,Livraison rapide mais le repas n'était pas chaud.,French,3,Algeria,Negative,Food Quality
211,الطلبية وصلت بسرعة وكانت الأسعار مناسبة.,Arabic,4,Algeria,Positive,Pricing
212,Loved the packaging! Everything was secure and fresh. 🥗,English,5,Algeria,Positive,Packaging
213,La nourriture était barda mais la livraison était lente.,French,2,Algeria,Negative,Delivery Speed
214,تجربة توصيل ممتازة، شكراً لكم!,Arabic,5,Algeria,Positive,Customer Service
215,"The app crashes frequently, making it hard to place orders.",English,1,Algeria,Negative,App Usability
216,"Service moyen, rien de spécial.",French,3,Algeria,Positive,Customer Service
217,الأكل كان طيب ولكن التأخير كان مزعج.,Arabic,2,Algeria,Negative,Delivery Speed
218,Everything was perfect! Will order again. 😊,English,5,Algeria,Positive,Order Accuracy
219,La livraison a été correcte mais le repas manque de saveur.,French,3,Algeria,Positive,Food Quality
